   0 [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:   0 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   0: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  14 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  10 RE_DO        Activity 0 (old=0 new=0)         ] || [State  12: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  15 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  10 RE_DO        Activity 0 (old=0 new=0)         ] || [State  13: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  16 [State   2: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  11 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  14: [(A0.s=0 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  4.00] [Posibility: 0.85] || [Time_cost:   0.00] || [Price_cost:   0.0]
  17 [State   2: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  11 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  15: [(A0.s=0 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 0.15] || [Time_cost:   0.00] || [Price_cost:   0.0]
  18 [State   2: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   2.00, nextTimeCost=  3.00] || [Action:  12 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  16: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  19 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  14 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  20 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  15 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  17: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  21 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  16 RE_DO        Activity 0 (old=0 new=0)         ] || [State  18: [(A0.s=0 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   4.00, nextTimeCost=  3.00] [Posibility: 0.90] || [Time_cost:   2.00] || [Price_cost:  10.0]
  22 [State   3: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   2.00, nextTimeCost=  2.00] || [Action:  16 RE_DO        Activity 0 (old=0 new=0)         ] || [State  19: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   4.00, nextTimeCost=  2.00] [Posibility: 0.10] || [Time_cost:   2.00] || [Price_cost:  10.0]
  23 [State   4: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  17 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  20: [(A0.s=3 x= 1.00) (A1.s=1 x= 1.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   8.00, nextTimeCost=  4.00] [Posibility: 0.85] || [Time_cost:   0.00] || [Price_cost:   0.0]
  24 [State   4: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  17 NO_ACTION    Activity 1 (old=1 new=1)         ] || [State  21: [(A0.s=3 x= 1.00) (A1.s=1 x=-1.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   8.00, nextTimeCost=  3.00] [Posibility: 0.15] || [Time_cost:   0.00] || [Price_cost:   0.0]
  25 [State   4: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=   5.00, nextTimeCost=  3.00] || [Action:  18 TERMINATE    Activity 1 (old=1 new=1)         ] || [State  22: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  3.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  26 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  20 NO_ACTION    Activity 0 (old=3 new=3)         ] || [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  27 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  21 TERMINATE    Activity 0 (old=3 new=3)         ] || [State  23: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  28 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  22 RE_DO        Activity 0 (old=3 new=3)         ] || [State  24: [(A0.s=3 x= 1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=UNKNOW   currTimeCost=  10.00, nextTimeCost=  3.00] [Posibility: 0.75] || [Time_cost:   5.00] || [Price_cost:  40.0]
  29 [State   5: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   5.00, nextTimeCost=  5.00] || [Action:  22 RE_DO        Activity 0 (old=3 new=3)         ] || [State  25: [(A0.s=3 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=  10.00, nextTimeCost=  5.00] [Posibility: 0.25] || [Time_cost:   5.00] || [Price_cost:  40.0]
  30 [State   6: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] || [Action:  23 NO_ACTION    Activity 1 (old=5 new=5)         ] || [State  26: [(A0.s=4 x= 1.00) (A1.s=5 x= 1.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=  13.00, nextTimeCost=  8.00] [Posibility: 0.65] || [Time_cost:   0.00] || [Price_cost:   0.0]
  31 [State   6: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] || [Action:  23 NO_ACTION    Activity 1 (old=5 new=5)         ] || [State  27: [(A0.s=4 x= 1.00) (A1.s=5 x=-1.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=  13.00, nextTimeCost=  7.00] [Posibility: 0.35] || [Time_cost:   0.00] || [Price_cost:   0.0]
  32 [State   6: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] || [Action:  24 TERMINATE    Activity 1 (old=5 new=5)         ] || [State  28: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  7.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  33 [State   7: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  26 NO_ACTION    Activity 0 (old=4 new=4)         ] || [State   7: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  34 [State   7: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  27 TERMINATE    Activity 0 (old=4 new=4)         ] || [State  29: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  35 [State   7: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  28 RE_DO        Activity 0 (old=4 new=4)         ] || [State  30: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=  12.00, nextTimeCost=  7.00] [Posibility: 0.70] || [Time_cost:   6.00] || [Price_cost:  50.0]
  36 [State   7: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  28 RE_DO        Activity 0 (old=4 new=4)         ] || [State  31: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=  12.00, nextTimeCost=  6.00] [Posibility: 0.30] || [Time_cost:   6.00] || [Price_cost:  50.0]
  37 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  29 NO_ACTION    Activity 0 (old=4 new=4)         ] || [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  38 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  30 TERMINATE    Activity 0 (old=4 new=4)         ] || [State  32: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  39 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  31 RE_DO        Activity 0 (old=4 new=4)         ] || [State  33: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] [Posibility: 0.70] || [Time_cost:   6.00] || [Price_cost:  50.0]
  40 [State   0: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  31 RE_DO        Activity 0 (old=4 new=4)         ] || [State  34: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 0.30] || [Time_cost:   6.00] || [Price_cost:  50.0]
  41 [State   8: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  32 NO_ACTION    Activity 0 (old=4 new=4)         ] || [State   8: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  42 [State   8: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  33 TERMINATE    Activity 0 (old=4 new=4)         ] || [State  35: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  43 [State   8: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  34 RE_DO        Activity 0 (old=4 new=4)         ] || [State  36: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] [Posibility: 0.70] || [Time_cost:   6.00] || [Price_cost:  50.0]
  44 [State   8: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  6.00] || [Action:  34 RE_DO        Activity 0 (old=4 new=4)         ] || [State  37: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 0.30] || [Time_cost:   6.00] || [Price_cost:  50.0]
  45 [State   9: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] || [Action:  35 NO_ACTION    Activity 1 (old=5 new=5)         ] || [State  38: [(A0.s=4 x= 1.00) (A1.s=5 x= 1.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=  13.00, nextTimeCost=  8.00] [Posibility: 0.65] || [Time_cost:   0.00] || [Price_cost:   0.0]
  46 [State   9: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] || [Action:  35 NO_ACTION    Activity 1 (old=5 new=5)         ] || [State  39: [(A0.s=4 x= 1.00) (A1.s=5 x=-1.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=  13.00, nextTimeCost=  7.00] [Posibility: 0.35] || [Time_cost:   0.00] || [Price_cost:   0.0]
  47 [State   9: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=   6.00, nextTimeCost=  7.00] || [Action:  36 TERMINATE    Activity 1 (old=5 new=5)         ] || [State  40: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  7.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  48 [State  10: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  38 NO_ACTION    Activity 0 (old=4 new=4)         ] || [State  10: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  49 [State  10: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  39 TERMINATE    Activity 0 (old=4 new=4)         ] || [State  41: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  50 [State  10: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  40 RE_DO        Activity 0 (old=4 new=4)         ] || [State  42: [(A0.s=4 x= 1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=UNKNOW   currTimeCost=  12.00, nextTimeCost=  7.00] [Posibility: 0.70] || [Time_cost:   6.00] || [Price_cost:  50.0]
  51 [State  10: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=   6.00, nextTimeCost=  6.00] || [Action:  40 RE_DO        Activity 0 (old=4 new=4)         ] || [State  43: [(A0.s=4 x=-1.00) (A1.s=5 x= 0.00) (A2.s=6 x= 0.00)] Global_state=FAILED   currTimeCost=  12.00, nextTimeCost=  6.00] [Posibility: 0.30] || [Time_cost:   6.00] || [Price_cost:  50.0]
  52 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  41 NO_ACTION    Activity 0 (old=0 new=0)         ] || [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
  53 [State   1: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] || [Action:  42 TERMINATE    Activity 0 (old=0 new=0)         ] || [State  44: [(A0.s=0 x=-1.00) (A1.s=1 x= 0.00) (A2.s=2 x= 0.00)] Global_state=FAILED   currTimeCost=   0.00, nextTimeCost=  2.00] [Posibility: 1.00] || [Time_cost:   0.00] || [Price_cost:   0.0]
